,accession,pred_prob,protein,protein_probability,mRNA,y
425,YPR110C,0.5297322273254395,YPR110C,0.0,5.24,1
426,YBR118W,0.9446794390678406,YBR118W,1.0,25.3,1
427,YIL101C,0.3479071855545044,YIL101C,0.0,0.56,0
428,YMR230W,0.4761635661125183,YMR230W,0.0,7.94,1
429,YIL096C,0.6147624254226685,YIL096C,0.0,1.27,0
430,YFL056C,0.3510625660419464,YFL056C,0.0,0.24,0
431,YLR082C,0.2853562831878662,YLR082C,0.0,0.66,0
432,YPR157W,0.17776066064834595,YPR157W,0.0,0.85,0
433,YPL258C,0.6514379382133484,YPL258C,0.31,0.84,0
434,YMR307W,0.6378540992736816,YMR307W,0.0,18.53,1
435,YDR409W,0.4055507481098175,YDR409W,0.0,0.74,0
436,YBL033C,0.41306400299072266,YBL033C,0.0,1.35,1
437,YNL317W,0.38221681118011475,YNL317W,0.0,0.47,0
438,YDL102W,0.546196460723877,YDL102W,0.22,0.95,1
439,YHR065C,0.6378540992736816,YHR065C,0.0,1.62,1
440,YLR286C,0.4055688977241516,YLR286C,0.0,10.91,0
441,YGL025C,0.2589157819747925,YGL025C,0.0,0.5,0
442,YMR080C,0.9309995174407959,YMR080C,0.92,1.27,1
443,YOL022C,0.6464029550552368,YOL022C,0.67,1.67,1
444,YBR253W,0.2009078860282898,YBR253W,0.0,0.99,0
445,YGR158C,0.36153537034988403,YGR158C,0.0,1.57,1
446,YHR113W,0.5568025708198547,YHR113W,0.0,1.94,1
447,YBR206W,0.314455509185791,YBR206W,0.0,2.65,0
448,YBL051C,0.3890018165111542,YBL051C,0.0,1.4,1
449,YDL147W,0.5501039624214172,YDL147W,0.45,4.45,1
450,YBR097W,0.48953938484191895,YBR097W,0.54,1.42,0
451,YPL140C,0.6631537079811096,YPL140C,0.73,0.59,0
452,YBL073W,0.17776066064834595,YBL073W,0.0,1.04,0
453,YKL089W,0.2537018656730652,YKL089W,0.0,0.6,0
454,YDL038C,0.314455509185791,YDL038C,0.0,1.47,0
455,YOR167C,0.6004842519760132,YOR167C,0.0,17.41,1
456,YPL105C,0.4404706358909607,YPL105C,0.21,1.7,1
457,YDR527W,0.37417036294937134,YDR527W,0.0,1.23,0
458,YFL001W,0.48098331689834595,YFL001W,0.0,0.93,1
459,YDR253C,0.41072726249694824,YDR253C,0.0,0.7,0
460,YIL129C,0.8147399425506592,YIL129C,0.66,1.92,1
461,YLR216C,0.4614497423171997,YLR216C,0.0,4.37,1
462,YLR335W,0.5841028690338135,YLR335W,0.0,2.13,1
463,YDL097C,0.5909245014190674,YDL097C,0.0,2.74,1
464,YLR155C,0.6026719808578491,YLR155C,0.0,0.84,0
465,YLR178C,0.5852662920951843,YLR178C,0.0,0.96,1
466,YDR482C,0.24731913208961487,YDR482C,0.0,0.62,0
467,YOR244W,0.4198356568813324,YOR244W,0.0,1.53,0
468,YCL055W,0.25484398007392883,YCL055W,0.0,1.1,0
469,YDR058C,0.48803186416625977,YDR058C,0.0,0.8,0
470,YKL139W,0.2527494430541992,YKL139W,0.0,0.57,1
471,YKR069W,0.6473285555839539,YKR069W,0.3,0.96,0
472,YMR156C,0.5772754549980164,YMR156C,0.0,0.49,0
473,YHR191C,0.21470046043395996,YHR191C,0.0,1.09,0
474,YOR203W,0.314455509185791,YOR203W,0.0,1.68,0
475,YKL061W,0.3147287964820862,YKL061W,0.0,1.13,0
476,YPL152W,0.6924566626548767,YPL152W,0.46,0.87,0
477,YLR105C,0.55490642786026,YLR105C,0.0,0.87,0
478,YLR132C,0.24883706867694855,YLR132C,0.0,1.01,0
479,YMR144W,0.368961364030838,YMR144W,0.0,0.64,0
480,YNL330C,0.396114706993103,YNL330C,0.0,1.04,1
481,YGL254W,0.35606464743614197,YGL254W,0.0,0.64,0
482,YKR002W,0.5429720282554626,YKR002W,0.71,1.11,1
483,YER134C,0.28777042031288147,YER134C,0.0,1.4,1
484,YGL227W,0.5963090658187866,YGL227W,0.0,0.6,1
485,YDL124W,0.4758434593677521,YDL124W,0.0,3.94,1
486,YPR134W,0.5917118787765503,YPR134W,0.0,1.12,0
487,YNL006W,0.4810500741004944,YNL006W,0.0,1.57,0
488,YJL140W,0.6402483582496643,YJL140W,0.89,2.14,1
489,YDR528W,0.22993366420269012,YDR528W,0.0,0.64,0
490,YHR009C,0.6322658061981201,YHR009C,0.0,1.15,1
491,YLR384C,0.3830946981906891,YLR384C,0.0,1.6,1
492,YHR171W,0.6093417406082153,YHR171W,0.0,0.34,0
493,YKR089C,0.8464193344116211,YKR089C,0.81,1.29,1
494,YPL010W,0.45851844549179077,YPL010W,0.0,3.48,1
495,YMR262W,0.39580264687538147,YMR262W,0.0,0.58,0
496,YHR197W,0.5425505042076111,YHR197W,0.0,1.5,1
497,YJL149W,0.8401913046836853,YJL149W,0.83,0.51,0
498,YOR267C,0.350338339805603,YOR267C,0.0,1.04,1
499,YOL112W,0.25947314500808716,YOL112W,0.0,0.91,0
500,YLR449W,0.3882268965244293,YLR449W,0.0,4.45,1
501,YOR194C,0.41529110074043274,YOR194C,0.0,1.71,0
502,YOL114C,0.5827769637107849,YOL114C,0.0,0.5,0
503,YMR276W,0.30668339133262634,YMR276W,0.0,3.16,0
504,YBR249C,0.6358667016029358,YBR249C,0.0,6.47,1
505,YKL109W,0.5534456372261047,YKL109W,0.0,2.42,0
506,YNL277W,0.6330049633979797,YNL277W,0.0,0.39,0
507,YDR460W,0.5392149686813354,YDR460W,0.0,0.86,0
508,YLL026W,0.39642104506492615,YLL026W,0.0,9.45,1
509,YNL244C,0.838371753692627,YNL244C,0.68,11.7,1
510,YBR112C,0.5062851309776306,YBR112C,0.0,1.74,1
511,YBR017C,0.6380135416984558,YBR017C,0.2,1.93,1
512,YOR239W,0.391014963388443,YOR239W,0.0,1.89,1
513,YIL097W,0.46000656485557556,YIL097W,0.0,0.42,0
514,YDL223C,0.6731494069099426,YDL223C,0.98,1.06,1
515,YGL102C,0.6374937295913696,YGL102C,0.0,1.15,0
516,YCR091W,0.2445593923330307,YCR091W,0.0,0.22,0
517,YLR265C,0.2572413682937622,YLR265C,0.0,0.91,0
518,YBL081W,0.18887455761432648,YBL081W,0.0,0.98,0
519,YKL196C,0.29824042320251465,YKL196C,0.0,3.2,1
520,YGL009C,0.9447396397590637,YGL009C,1.0,12.24,1
521,YOR206W,0.48846200108528137,YOR206W,0.0,2.7,1
522,YPR184W,0.5605262517929077,YPR184W,0.79,0.62,1
523,YDR423C,0.38757985830307007,YDR423C,0.0,0.58,0
524,YHR097C,0.513113796710968,YHR097C,0.0,0.95,1
525,YDR301W,0.5071657299995422,YDR301W,0.0,1.29,0
526,YCR096C,0.36948099732398987,YCR096C,0.0,1.61,0
527,YJL048C,0.24517329037189484,YJL048C,0.0,1.65,0
528,YOR313C,0.467421293258667,YOR313C,0.0,0.43,0
529,YLR196W,0.3541727364063263,YLR196W,0.0,3.05,1
530,YGR239C,0.4969092905521393,YGR239C,0.0,0.36,0
531,YJR066W,0.5324495434761047,YJR066W,0.84,0.78,0
532,YJR056C,0.6292943358421326,YJR056C,0.0,0.79,0
533,YPL018W,0.6948158740997314,YPL018W,0.64,0.81,0
534,YDR122W,0.5030240416526794,YDR122W,0.0,2.06,1
535,YDL036C,0.6129863262176514,YDL036C,0.0,1.32,0
536,YKL035W,0.9448561668395996,YKL035W,1.0,5.16,1
537,YHL019C,0.28840115666389465,YHL019C,0.0,0.42,0
538,YGR177C,0.5649236440658569,YGR177C,0.0,0.98,1
539,YDL003W,0.3838101327419281,YDL003W,0.0,1.21,0
540,YNL098C,0.28840115666389465,YNL098C,0.0,3.13,1
541,YJL103C,0.21854296326637268,YJL103C,0.0,0.28,0
542,YMR297W,0.5805092453956604,YMR297W,0.0,5.25,1
543,YGL202W,0.9423940181732178,YGL202W,0.98,4.71,1
544,YNL133C,0.34582334756851196,YNL133C,0.0,0.78,0
545,YER023W,0.6385624408721924,YER023W,0.34,2.52,1
546,YDR103W,0.28715819120407104,YDR103W,0.3,0.69,0
547,YFR017C,0.18663311004638672,YFR017C,0.0,0.29,1
548,YFR028C,0.3995571434497833,YFR028C,0.0,0.81,1
549,YPL226W,0.47655418515205383,YPL226W,0.0,2.27,1
550,YOR207C,0.26822733879089355,YOR207C,0.0,1.66,1
551,YGL131C,0.42929649353027344,YGL131C,0.0,0.75,0
552,YFL064C,0.17776066064834595,YFL064C,0.0,0.27,0
553,YJL036W,0.40805116295814514,YJL036W,0.0,0.78,1
554,YMR038C,0.9429468512535095,YMR038C,0.99,1.69,1
555,YMR086W,0.5112484693527222,YMR086W,0.0,0.8,1
556,YGL144C,0.36098024249076843,YGL144C,0.37,0.4,0
557,YNL079C,0.6978496313095093,YNL079C,0.99,8.24,1
558,YDL198C,0.5262139439582825,YDL198C,0.0,1.59,1
559,YML114C,0.3739550709724426,YML114C,0.0,0.91,0
560,YJR048W,0.5603296160697937,YJR048W,0.0,2.57,1
561,YMR261C,0.4448617696762085,YMR261C,0.0,2.24,1
562,YLR266C,0.188070610165596,YLR266C,0.0,0.6,0
563,YLL049W,0.33720362186431885,YLL049W,0.0,1.64,0
564,YNL053W,0.600371241569519,YNL053W,0.38,1.16,0
565,YDR400W,0.4288443922996521,YDR400W,0.0,1.2,0
566,YPL177C,0.37526682019233704,YPL177C,0.0,1.89,0
567,YMR204C,0.3775617182254791,YMR204C,0.0,0.37,0
568,YAL003W,0.9445970058441162,YAL003W,1.0,25.55,1
569,YGR080W,0.29231056571006775,YGR080W,0.0,1.17,1
570,YKL135C,0.3452945649623871,YKL135C,0.42,1.24,1
571,YNL302C,0.5375016927719116,YNL302C,0.0,27.65,1
572,YGL030W,0.7987261414527893,YGL030W,0.65,29.71,1
573,YDR206W,0.2833779454231262,YDR206W,0.22,0.81,0
574,YFR011C,0.21054449677467346,YFR011C,0.0,1.62,0
575,YJL221C,0.5354453325271606,YJL221C,0.0,0.19,0
576,YDR173C,0.4058080017566681,YDR173C,0.0,0.54,0
577,YJL118W,0.20776259899139404,YJL118W,0.21,1.29,0
578,YDR373W,0.6117708683013916,YDR373W,0.0,2.18,0
579,YJR029W,0.17776066064834595,YJR029W,0.0,4.94,1
580,YER008C,0.5844370126724243,YER008C,0.0,0.99,1
581,YDL047W,0.5643824338912964,YDL047W,0.0,1.34,0
582,YER109C,0.49775758385658264,YER109C,0.0,0.43,0
583,YOR007C,0.3274550437927246,YOR007C,0.42,7.42,1
584,YLR336C,0.3691665232181549,YLR336C,0.27,1.29,1
585,YDL022W,0.6378540992736816,YDL022W,0.0,5.77,1
586,YJL076W,0.33573535084724426,YJL076W,0.0,0.9,1
587,YCR102C,0.5818652510643005,YCR102C,0.0,0.44,0
588,YJL107C,0.2916739583015442,YJL107C,0.0,0.62,0
589,YMR131C,0.43749529123306274,YMR131C,0.0,3.28,1
590,YMR127C,0.28523656725883484,YMR127C,0.0,0.71,0
591,YBR237W,0.31668543815612793,YBR237W,0.0,0.55,0
592,YKR060W,0.3025258183479309,YKR060W,0.0,1.5,0
593,YFR022W,0.47961750626564026,YFR022W,0.0,0.25,0
594,YJL079C,0.5458773374557495,YJL079C,0.0,1.56,0
595,YLR344W,0.940543532371521,YLR344W,1.0,7.33,1
596,YDR488C,0.47841575741767883,YDR488C,0.0,0.49,0
597,YDR166C,0.5689685940742493,YDR166C,0.0,1.23,0
598,YHR074W,0.887032151222229,YHR074W,0.89,0.97,1
599,YPL090C,0.7600606083869934,YPL090C,1.0,17.26,1
600,YPL242C,0.7148278951644897,YPL242C,0.7,1.26,0
601,YGR267C,0.5211387872695923,YGR267C,0.0,3.07,1
602,YDR259C,0.23579555749893188,YDR259C,0.0,0.9,0
603,YPL046C,0.2920052111148834,YPL046C,0.0,1.26,0
604,YJR014W,0.5585900545120239,YJR014W,0.0,3.42,1
605,YLR146C,0.6257981657981873,YLR146C,0.0,1.27,0
606,YDR142C,0.34405940771102905,YDR142C,0.0,0.62,0
607,YDR273W,0.29243743419647217,YDR273W,0.0,0.52,0
608,YLR189C,0.38197192549705505,YLR189C,0.0,0.77,0
609,YDL129W,0.17776066064834595,YDL129W,0.0,0.56,0
610,YMR135C,0.17945708334445953,YMR135C,0.0,0.93,1
611,YNL212W,0.46201813220977783,YNL212W,0.0,1.4,1
612,YOR109W,0.43091434240341187,YOR109W,0.38,1.39,1
613,YIL022W,0.3197934627532959,YIL022W,0.0,0.88,1
614,YCR028C-A,0.3395231366157532,YCR028C-A,0.0,5.41,1
615,YDL069C,0.34475183486938477,YDL069C,0.0,1.41,0
616,YLR292C,0.5862563252449036,YLR292C,0.0,1.98,1
617,YDL066W,0.9210090041160583,YDL066W,1.0,2.91,1
618,YBR111C,0.37847986817359924,YBR111C,0.0,3.6,1
619,YLR251W,0.35190096497535706,YLR251W,0.0,1.01,0
620,YOR031W,0.5368834733963013,YOR031W,0.0,1.23,0
621,YER176W,0.34663084149360657,YER176W,0.0,1.35,0
622,YOL028C,0.5667662024497986,YOL028C,0.0,0.65,0
623,YDR080W,0.4096216857433319,YDR080W,0.0,1.72,0
624,YDR296W,0.17776066064834595,YDR296W,0.0,1.15,0
625,YGL164C,0.5630075931549072,YGL164C,0.0,0.74,0
626,YGR155W,0.9449803829193115,YGR155W,1.0,7.95,1
627,YEL023C,0.3692130148410797,YEL023C,0.0,0.81,0
628,YKR079C,0.6623454093933105,YKR079C,0.6,0.99,1
629,YDR425W,0.3067903220653534,YDR425W,0.0,0.49,0
630,YOR107W,0.32284054160118103,YOR107W,0.0,0.64,0
631,YDR399W,0.6222484707832336,YDR399W,0.66,7.37,1
632,YDR235W,0.2176617681980133,YDR235W,0.0,0.96,0
633,YBL019W,0.5329803824424744,YBL019W,0.0,0.43,0
634,YDR379W,0.28901398181915283,YDR379W,0.0,1.04,0
635,YOR317W,0.432555615901947,YOR317W,0.0,2.73,1
636,YIL164C,0.4613572657108307,YIL164C,0.0,0.5,0
637,YDR404C,0.2805277407169342,YDR404C,0.0,2.76,0
638,YGR064W,0.253214567899704,YGR064W,0.0,0.75,0
639,YLR224W,0.2967924475669861,YLR224W,0.0,1.09,0
640,YPL107W,0.17776066064834595,YPL107W,0.0,0.83,0
641,YKL018W,0.31234923005104065,YKL018W,0.0,0.75,1
642,YHR143W,0.21903079748153687,YHR143W,0.0,5.2,0
643,YNL154C,0.23280994594097137,YNL154C,0.0,2.06,1
644,YGR115C,0.17776066064834595,YGR115C,0.0,2.53,0
645,YLL021W,0.7188879251480103,YLL021W,0.76,0.97,1
646,YDR433W,0.3038334548473358,YDR433W,0.0,8.12,0
647,YPR029C,0.5069010853767395,YPR029C,0.0,1.22,1
648,YGR085C,0.9412969946861267,YGR085C,1.0,45.73,1
649,YGR204W,0.3522789776325226,YGR204W,0.2,4.33,1
650,YBL087C,0.9450669288635254,YBL087C,1.0,33.07,1
651,YPR190C,0.33828049898147583,YPR190C,0.0,1.07,1
652,YGR240C,0.9447081685066223,YGR240C,1.0,7.41,1
653,YDR165W,0.4666147530078888,YDR165W,0.0,2.92,1
654,YBL056W,0.5678072571754456,YBL056W,0.0,1.61,1
655,YGR140W,0.20397421717643738,YGR140W,0.0,1.04,1
656,YGL099W,0.5798702836036682,YGL099W,0.3,1.28,1
657,YOL138C,0.7804326415061951,YOL138C,0.6,0.9,1
658,YPL220W,0.9399253129959106,YPL220W,1.0,52.4,1
659,YAL012W,0.9448254108428955,YAL012W,1.0,8.94,1
660,YDR320C,0.6239257454872131,YDR320C,0.46,0.49,1
661,YLR032W,0.18429751694202423,YLR032W,0.0,0.94,0
662,YMR310C,0.5316925644874573,YMR310C,0.0,1.34,0
663,YJR104C,0.9448202252388,YJR104C,1.0,21.39,1
664,YDL203C,0.28840115666389465,YDL203C,0.0,0.66,0
665,YFR008W,0.3958171308040619,YFR008W,0.0,0.44,0
666,YBL050W,0.6129506230354309,YBL050W,0.0,1.36,1
667,YGR280C,0.42402520775794983,YGR280C,0.0,3.86,0
668,YPL210C,0.5435967445373535,YPL210C,0.0,1.78,1
669,YDR174W,0.5395044088363647,YDR174W,0.0,6.67,1
670,YOL124C,0.36652281880378723,YOL124C,0.0,2.45,0
671,YAR003W,0.27039578557014465,YAR003W,0.0,1.48,0
672,YMR315W,0.4996224045753479,YMR315W,0.37,4.55,1
673,YBL066C,0.4953787624835968,YBL066C,0.42,0.87,0
674,YIL020C,0.6359272599220276,YIL020C,0.0,1.01,1
675,YGL076C,0.6197540760040283,YGL076C,0.0,32.06,1
676,YFL037W,0.9441915154457092,YFL037W,1.0,5.44,1
677,YKL095W,0.5106841325759888,YKL095W,0.0,0.4,0
678,YGR251W,0.5448139905929565,YGR251W,0.0,1.61,0
679,YLL029W,0.6375529766082764,YLL029W,0.33,1.03,1
680,YFR013W,0.5643733143806458,YFR013W,0.3,0.55,0
681,YGR270W,0.47894954681396484,YGR270W,0.0,1.35,1
682,YLR210W,0.2788960039615631,YLR210W,0.0,0.81,0
683,YKL210W,0.9386187791824341,YKL210W,1.0,3.06,1
684,YDR299W,0.6060808300971985,YDR299W,0.86,1.51,1
685,YOR236W,0.5936492085456848,YOR236W,0.0,1.35,0
686,YJL057C,0.5430422425270081,YJL057C,0.0,0.66,0
687,YGL248W,0.4488644003868103,YGL248W,0.0,0.7,0
688,YDL005C,0.3788207769393921,YDL005C,0.42,1.25,0
689,YML027W,0.18720203638076782,YML027W,0.0,0.92,0
690,YAL041W,0.35869356989860535,YAL041W,0.0,1.54,1
691,YNL005C,0.6279737949371338,YNL005C,0.0,1.37,1
692,YPR005C,0.3225145936012268,YPR005C,0.0,0.8,0
693,YIL115C,0.6293362379074097,YIL115C,0.0,3.36,1
694,YDR347W,0.47433239221572876,YDR347W,0.0,1.26,1
695,YER004W,0.5135515928268433,YER004W,0.0,1.79,1
696,YPR073C,0.5453993678092957,YPR073C,0.0,1.61,0
697,YPL144W,0.21781468391418457,YPL144W,0.0,1.8,0
698,YNR036C,0.6378540992736816,YNR036C,0.0,2.34,0
699,YGL143C,0.5057628154754639,YGL143C,0.0,0.54,0
700,YLR466W,0.30672934651374817,YLR466W,0.2,3.06,0
701,YDR044W,0.5280448198318481,YDR044W,0.0,1.31,1
702,YOR108W,0.5876113772392273,YOR108W,0.0,2.22,1
703,YOR198C,0.4758269190788269,YOR198C,0.0,5.7,1
704,YKL194C,0.4907914698123932,YKL194C,0.0,0.85,0
705,YKL049C,0.3228089213371277,YKL049C,0.0,0.79,0
706,YLR284C,0.39088255167007446,YLR284C,0.0,0.75,0
707,YGR162W,0.7086024880409241,YGR162W,0.39,3.72,1
708,YGR287C,0.595218300819397,YGR287C,0.0,0.29,0
709,YJL065C,0.20727987587451935,YJL065C,0.0,1.0,0
710,YDR240C,0.5300073623657227,YDR240C,0.83,0.55,0
711,YJL190C,0.46632060408592224,YJL190C,0.0,36.45,1
712,YOR155C,0.6356542110443115,YOR155C,0.4,0.62,1
713,YER126C,0.4913972318172455,YER126C,0.0,3.32,1
714,YOR344C,0.42729824781417847,YOR344C,0.0,2.65,0
715,YML127W,0.21366854012012482,YML127W,0.0,1.67,1
716,YER070W,0.3749265968799591,YER070W,0.0,2.07,1
717,YIL176C,0.2254544496536255,YIL176C,0.0,0.98,0
718,YHR022C,0.5669264197349548,YHR022C,0.0,0.68,0
719,YMR012W,0.691169023513794,YMR012W,0.42,1.69,1
720,YNL063W,0.4374638795852661,YNL063W,0.0,0.72,0
721,YML024W,0.9448790550231934,YML024W,1.0,23.4,1
722,YJR147W,0.5571314096450806,YJR147W,0.0,0.5,0
723,YOR200W,0.17776066064834595,YOR200W,0.0,0.61,0
724,YLR357W,0.5164072513580322,YLR357W,0.65,1.11,1
725,YDL205C,0.5459318161010742,YDL205C,0.0,0.65,1
726,YPL127C,0.7252348065376282,YPL127C,0.6,1.68,1
727,YBL037W,0.4717479944229126,YBL037W,0.57,0.41,0
728,YHR099W,0.9406081438064575,YHR099W,0.99,2.01,1
729,YDR439W,0.1895458996295929,YDR439W,0.0,0.43,0
730,YDR303C,0.4330715835094452,YDR303C,0.0,2.09,1
731,YBL024W,0.685451328754425,YBL024W,0.79,2.09,1
732,YMR014W,0.3834318220615387,YMR014W,0.0,1.16,1
733,YFL041W,0.4845028221607208,YFL041W,0.0,0.98,1
734,YHR196W,0.4970073997974396,YHR196W,0.0,1.94,1
735,YJL156C,0.29284411668777466,YJL156C,0.0,0.59,0
736,YOR350C,0.6161960959434509,YOR350C,0.68,0.65,0
737,YJL049W,0.4164797365665436,YJL049W,0.0,0.65,0
738,YPL120W,0.5185033679008484,YPL120W,0.0,0.73,0
739,YJR144W,0.2537018656730652,YJR144W,0.0,1.85,1
740,YJL006C,0.4620557427406311,YJL006C,0.0,0.89,0
741,YIL159W,0.9447891116142273,YIL159W,1.0,0.62,0
742,YJR022W,0.5183917880058289,YJR022W,0.0,0.88,0
743,YHR176W,0.6061678528785706,YHR176W,0.0,0.51,0
744,YFR053C,0.4182033836841583,YFR053C,0.0,3.59,1
745,YPR083W,0.4013284146785736,YPR083W,0.0,0.73,0
746,YNR037C,0.3683854639530182,YNR037C,0.0,1.75,0
747,YKL099C,0.5458932518959045,YKL099C,0.0,2.21,0
748,YLR158C,0.4650060534477234,YLR158C,0.0,1.14,0
749,YAL043C,0.529019296169281,YAL043C,0.0,1.08,1
750,YGL020C,0.3442728519439697,YGL020C,0.0,2.33,0
751,YGL105W,0.9447129368782043,YGL105W,1.0,7.62,1
752,YGR247W,0.17776066064834595,YGR247W,0.0,1.2,0
753,YAL019W,0.5944236516952515,YAL019W,0.68,0.95,1
754,YKL190W,0.6378540992736816,YKL190W,0.0,3.73,0
755,YBR079C,0.5645554661750793,YBR079C,0.0,3.04,1
756,YAL044C,0.45842495560646057,YAL044C,0.0,5.07,1
757,YNL075W,0.42909902334213257,YNL075W,0.0,2.43,0
758,YGR019W,0.5814412832260132,YGR019W,0.0,0.89,1
759,YDR515W,0.6251086592674255,YDR515W,0.0,0.42,1
760,YNL187W,0.2787342965602875,YNL187W,0.0,0.62,0
761,YHR206W,0.46064817905426025,YHR206W,0.0,1.13,0
762,YJR098C,0.38603225350379944,YJR098C,0.4,1.61,0
763,YHR182W,0.6036695837974548,YHR182W,0.0,0.69,0
764,YIL137C,0.6378540992736816,YIL137C,0.0,0.64,1
765,YCR099C,0.607141375541687,YCR099C,0.0,0.53,0
766,YMR226C,0.9418887495994568,YMR226C,1.0,3.6,1
767,YOL012C,0.5605148673057556,YOL012C,0.41,2.17,1
768,YCL030C,0.7203114628791809,YCL030C,0.45,3.79,1
769,YPL219W,0.27491307258605957,YPL219W,0.0,1.02,0
770,YFL031W,0.41498106718063354,YFL031W,0.0,6.16,0
771,YHR157W,0.2065049111843109,YHR157W,0.0,0.48,0
772,YIR025W,0.23141434788703918,YIR025W,0.0,0.32,0
773,YLL056C,0.5929898023605347,YLL056C,0.5,0.36,0
774,YLR314C,0.3286212384700775,YLR314C,0.0,1.81,1
775,YHR037W,0.6254331469535828,YHR037W,0.0,1.33,1
776,YAL010C,0.3225405216217041,YAL010C,0.39,1.12,0
777,YOR356W,0.5753646492958069,YOR356W,0.0,1.32,1
778,YGR073C,0.314455509185791,YGR073C,0.0,1.02,0
779,YHR137W,0.6180295944213867,YHR137W,0.0,0.43,0
780,YDR099W,0.9110103845596313,YDR099W,1.0,4.84,1
781,YER056C-A,0.6236255764961243,YER056C-A,0.0,13.39,1
782,YOL017W,0.3084631562232971,YOL017W,0.0,0.56,0
783,YDR127W,0.353824257850647,YDR127W,0.0,3.02,1
784,YBR088C,0.5698944926261902,YBR088C,0.87,4.22,1
785,YGR068C,0.28904011845588684,YGR068C,0.0,0.44,0
786,YER156C,0.6145971417427063,YER156C,0.28,2.9,1
787,YPL118W,0.27775636315345764,YPL118W,0.0,1.51,1
788,YGR214W,0.5521155595779419,YGR214W,0.0,21.97,1
789,YJR050W,0.24817588925361633,YJR050W,0.0,0.64,0
790,YHR046C,0.6125426888465881,YHR046C,0.0,0.88,0
791,YDR364C,0.419133722782135,YDR364C,0.0,0.91,0
792,YJL210W,0.301779180765152,YJL210W,0.29,0.7,0
793,YML062C,0.549589216709137,YML062C,0.0,1.62,0
794,YKR095W,0.609622061252594,YKR095W,0.61,1.37,1
795,YPR101W,0.41921257972717285,YPR101W,0.0,1.05,0
796,YPR111W,0.30860453844070435,YPR111W,0.0,0.52,1
797,YGR090W,0.3533271253108978,YGR090W,0.0,2.16,1
798,YDL107W,0.258526086807251,YDL107W,0.0,0.66,0
799,YML065W,0.61397385597229,YML065W,0.97,1.73,0
800,YGR274C,0.584915041923523,YGR274C,0.61,0.88,0
801,YDL088C,0.2046659290790558,YDL088C,0.0,1.0,0
802,YJL225C,0.3087023198604584,YJL225C,0.0,2.27,0
803,YNL077W,0.4222477972507477,YNL077W,0.37,0.92,0
804,YDL175C,0.6091082096099854,YDL175C,0.0,0.61,0
805,YEL005C,0.40791645646095276,YEL005C,0.0,1.19,0
806,YNR068C,0.3222808539867401,YNR068C,0.0,1.7,0
807,YOL071W,0.371616393327713,YOL071W,0.0,1.08,0
808,YCR003W,0.4690825045108795,YCR003W,0.0,1.24,0
809,YHR024C,0.600473165512085,YHR024C,0.0,1.05,1
810,YLR090W,0.5538158416748047,YLR090W,0.0,1.28,0
811,YKL214C,0.5150648355484009,YKL214C,0.0,0.9,1
812,YCL031C,0.2496921569108963,YCL031C,0.0,2.48,0
813,YKL071W,0.4829961657524109,YKL071W,0.0,0.49,0
814,YPR062W,0.3327420949935913,YPR062W,0.0,6.15,1
815,YPR158W,0.6378540992736816,YPR158W,0.0,0.65,0
816,YPR161C,0.3674735724925995,YPR161C,0.0,0.7,1
817,YNL071W,0.5881767868995667,YNL071W,0.0,3.86,1
818,YKL197C,0.5039557814598083,YKL197C,0.43,0.74,0
819,YGL028C,0.456189900636673,YGL028C,0.0,2.73,0
820,YJL128C,0.5724859237670898,YJL128C,0.0,0.95,1
821,YOR272W,0.5175133943557739,YOR272W,0.0,2.12,1
822,YLR190W,0.3707200288772583,YLR190W,0.0,0.99,0
823,YOR377W,0.5085880160331726,YOR377W,0.0,1.37,0
824,YBL113C,0.1804271787405014,YBL113C,0.0,2.96,0
825,YLR202C,0.17776066064834595,YLR202C,0.0,1.04,0
826,YPR143W,0.42583391070365906,YPR143W,0.0,1.9,0
827,YDR370C,0.4520910978317261,YDR370C,0.0,0.81,0
828,YDR386W,0.5193641781806946,YDR386W,0.0,0.54,0
829,YDL126C,0.9449643492698669,YDL126C,1.0,6.23,1
830,YOR205C,0.5766531229019165,YOR205C,0.0,1.05,0
831,YGL036W,0.4319142699241638,YGL036W,0.0,1.11,0
832,YMR234W,0.2799856960773468,YMR234W,0.0,0.68,0
833,YHR170W,0.5667762160301208,YHR170W,0.0,3.25,1
834,YBR223C,0.2306501567363739,YBR223C,0.0,2.97,0
835,YBR073W,0.5337604284286499,YBR073W,0.0,1.42,1
836,YDL195W,0.4438727796077728,YDL195W,0.0,2.1,1
837,YHR055C,0.5811200737953186,YHR055C,0.0,25.62,0
838,YDR234W,0.48268163204193115,YDR234W,0.0,1.85,1
839,YBR012C,0.314455509185791,YBR012C,0.0,0.79,0
840,YLR165C,0.49525853991508484,YLR165C,0.0,0.82,0
841,YPL266W,0.5700488090515137,YPL266W,0.0,1.6,1
842,YDL082W,0.6148068904876709,YDL082W,0.0,19.52,1
843,YLR403W,0.2452080398797989,YLR403W,0.0,1.07,0
844,YJL026W,0.24408000707626343,YJL026W,0.32,6.9,1
845,YHR104W,0.6140646934509277,YHR104W,0.0,1.05,1
846,YKL180W,0.9449869990348816,YKL180W,1.0,30.67,1
847,YHR073W,0.47279995679855347,YHR073W,0.0,0.89,1
848,YOR101W,0.3849293291568756,YOR101W,0.0,1.2,0
849,YPR093C,0.1790415197610855,YPR093C,0.0,0.98,0
